,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
427,UHCG,Schwangerschaftstest (Urin),emptyvalue,Hormone,emptyvalue,emptyvalue,2106-3,Choriogonadotropin (pregnancy test) [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
430,UHB,Hb/Ery (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5794-3,Hemoglobin [Presence] in Urine by Test strip,http://loinc.org,2.70,emptyvalue,X
433,UHAEM,Hämosiderin [Fremdlabor],emptyvalue,Urinsediment,emptyvalue,emptyvalue,17783-2,Hemosiderin [Presence] in Urine by Light microscopy,http://loinc.org,2.56,emptyvalue,X
437,UGLYC,Glycin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25922-6,Glycine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
438,UGLUT,Glutamin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25920-0,Glutamine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
439,UGLUS,Glutaminsäure (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25918-4,Glutamate/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
440,UGLUP,Glucose (Spontanurin),mg/dl,Urinchemie,emptyvalue,emptyvalue,2350-7,Glucose [Mass/volume] in Urine,http://loinc.org,2.70,mg/dL,X
441,UGLU,Glucose (Urin),mg/dl,Urinchemie,emptyvalue,emptyvalue,21305-8,Glucose [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/dL,X
442,Uglu,Glukose (Urin),g/d,Urinchemie,emptyvalue,emptyvalue,2351-5,Glucose [Mass/time] in 24 hour Urine,http://loinc.org,2.42,g/(24.h),X
443,UGAT,"Galaktose (Urin, 90 Min.)",g/2h,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,g/(2.h),X
444,UGAMB,Gamma-Aminobuttersäure (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,26581-9,Gamma aminobutyrate/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,umol/mmol&#123;creat},X
445,UGAL,Galaktose-Test (Urin),g/2h,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,g/(2.h),X
446,UFURO,Furosemid (Urin) [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,3660-8,Furosemide [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
447,UFHB,Hämoglobin frei im Urin [Fremdlabor],mg/dl,#NV,emptyvalue,emptyvalue,4636-7,Free Hemoglobin [Mass/volume] in Urine,http://loinc.org,2.34,mg/dL,X
448,UFED,"Eisen, Desferaltest (Urin) [Fremdlabor]",mg/6h,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,http://loinc.org,emptyvalue,emptyvalue,X
449,UFE,Eisen (Urin) [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,30030-1,Iron [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/L,X
450,Ufe,Eisen (Urin) [Fremdlabor],µg/d,#NV,emptyvalue,emptyvalue,2499-2,Iron [Mass/time] in 24 hour Urine,http://loinc.org,2.42,ug/(24.h),X
451,UF,Fluorid (Urin) [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,5650-7,Fluoride [Mass/volume] in Urine,http://loinc.org,2.42,mg/L,X
452,UETHA,Ethanolamin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25911-9,Ethanolamine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
454,UERZ,Erythr.(Urin-Kammer),M/L,emptyvalue,emptyvalue,emptyvalue,30391-7,Erythrocytes [#/volume] in Urine,http://loinc.org,2.73,emptyvalue,emptyvalue
457,UERYS,Erythrozyten (Sed.),/GF,emptyvalue,emptyvalue,emptyvalue,13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,http://loinc.org,2.70,/[HPF],emptyvalue
458,UERYS,Erythrozyten (Sed.),/GF,Urinsediment,emptyvalue,emptyvalue,105107-7,Erythrocytes [#/area] in Urine sediment,http://loinc.org,2.78,emptyvalue,X
459,UERYP,Erythrozyten (Urin),/µl,0,emptyvalue,emptyvalue,798-9,Erythrocytes [#/volume] in Urine by Automated count,http://loinc.org,2.42,/uL,X
460,UEGS,Ethylglucuronid (Urin) [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,45324-1	,Ethyl glucuronide [Mass/volume] in Urine,http://loinc.org,2.70,mg/L,X
461,UEGB,Ethylglucuronid / Creatinin  Bestätigungstest [Fremdlabor],mg/g,Urin-Screening,emptyvalue,emptyvalue,58376-5,Ethyl glucuronide/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.70,mg/g&#123;creat},X
462,UDPD,Deoxypyridinolin (Urin),nmol/l,#NV,emptyvalue,emptyvalue,25898-8,Deoxypyridinoline [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,nmol/L,X
463,UDPd,Deoxypyridinolin,nmol/mmolKre,Urinchemie,emptyvalue,emptyvalue,25095-1,Deoxypyridinoline/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,nmol/mmol&#123;creat},X
464,Udpd,Deoxypyridinolin (Urin),nmol/mmolKre,Urinchemie,emptyvalue,emptyvalue,24456-6,Deoxypyridinoline/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,nmol/mmol&#123;creat},X
465,UDOPFV,Dopamin (Urin) [Fremdlabor],nmol/l,emptyvalue,emptyvalue,emptyvalue,25906-9,DOPamine [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,nmol/L,X
466,UDOP,Dopamin (Urin),nmol/l,Hormone,emptyvalue,emptyvalue,25906-9,DOPamine [Moles/volume] in 24 hour Urine,http://loinc.org,2.42,nmol/L,X
467,Udop,Dopamin (Urin) Tagesausscheidung,nmol/d,#NV,emptyvalue,emptyvalue,15059-9,DOPamine [Moles/time] in 24 hour Urine,http://loinc.org,2.40,nmol/(24.h),X
469,UDNPH,DNPH-Test (Urin) [Fremdlabor],emptyvalue,Klinische Chemie,emptyvalue,emptyvalue,9308-8,"2,4-Dinitrophenylhydrazine reacting substances [Presence] in Urine",http://loinc.org,2.56,emptyvalue,X
473,UCYS,Cystin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25894-7,Cystine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
474,UCYIO,Cystathionin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25888-9,Cystathionine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
475,UCUFV,Kupfer (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,21219-1,Copper [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
476,Ucufv,Kupfer (Sammelurin) [Fremdlabor],µg/d,Urinchemie,emptyvalue,emptyvalue,5633-3,Copper [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
477,Ucu,Kupfer (Urin),µmol/d,Urinchemie,emptyvalue,emptyvalue,14666-2,Copper [Moles/time] in 24 hour Urine,http://loinc.org,2.40,umol/(24.h),X
478,UCR,Chrom (Urin) [Fremdlabor],µg/l,0,emptyvalue,emptyvalue,5623-4,Chromium [Mass/volume] in Urine,http://loinc.org,2.42,ug/L,X
479,UCOTI,Cotinin (Urin) [Fremdlabor],µg/l,Urin-Screening,emptyvalue,emptyvalue,10366-3,Cotinine [Mass/volume] in Urine,http://loinc.org,2.38,ug/L,X
480,UCOR,Gesamt-Cortisol (Sammelurin),µg/l,Hormone,emptyvalue,emptyvalue,20622-7,Cortisol [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
481,Ucor,"Gesamt-Cortisol (Urin, Tagesausscheidung)",µg/d,Hormone,emptyvalue,emptyvalue,14158-0,Cortisol [Mass/time] in 24 hour Urine,http://loinc.org,2.70,ug/(24.h),X
482,UCOPRO3,Coproporphyrin III (Urin),µg/l,emptyvalue,emptyvalue,emptyvalue,47254-8,Coproporphyrin 3 [Mass/volume] in 24 hour Urine,http://loinc.org,2.42,ug/(24.h),X
483,Ucopro3,Coproporphyrin III (Urin),µg/d,Urinchemie,emptyvalue,emptyvalue,6878-3,Coproporphyrin 3 [Mass/time] in 24 hour Urine,http://loinc.org,2.42,ug/(24.h),X
484,UCOPRO1,Coproporphyrin I (Urin),µg/l,#NV,emptyvalue,emptyvalue,47253-0,Coproporphyrin 1 [Mass/volume] in 24 hour Urine,http://loinc.org,2.42,ug/L,X
485,Ucopro1,Coproporphyrin I (Urin),µg/d,Urinchemie,emptyvalue,emptyvalue,6877-5,Coproporphyrin 1 [Mass/time] in 24 hour Urine,http://loinc.org,2.42,ug/(24.h),X
486,UCOC2,Cocainmetabolite (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,14314-9,Benzoylecgonine [Presence] in Urine by Screen method,http://loinc.org,2.73,emptyvalue,X
493,UCOC,Cocainmetabolite (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,14314-9,Benzoylecgonine [Presence] in Urine by Screen method,http://loinc.org,2.70,emptyvalue,X
496,UCLSPQ,Chlorid /mol Kreatinin (Spontanurin),mol/mol Krea,Urinchemie,emptyvalue,emptyvalue,34265-9,Chloride/Creatinine [Molar ratio] in Urine,http://loinc.org,2.42,mol/mol&#123;creat},X
497,UCLSP,Chlorid (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,2078-4,Chloride [Moles/volume] in Urine,http://loinc.org,2.40,mmol/L,X
498,UCL,Chlorid (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,21194-6,Chloride [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
499,Ucl,Chlorid (Urin) Tagesausscheidung,mmol/d,Urinchemie,emptyvalue,emptyvalue,2079-2,Chloride [Moles/time] in 24 hour Urine,http://loinc.org,2.40,mmol/(24.h),X
500,UCITRU,Citrullin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25878-0,Citrulline/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
501,UCITRSP,Citrat (Urin) [Fremdlabor],mmol/l,Urinchemie,emptyvalue,emptyvalue,34266-7,Citrate [Moles/volume] in Urine,http://loinc.org,2.34,mmol/L,X
502,Ucitr,Citrat (Urin) [Fremdlabor],mmol/d,Urinchemie,emptyvalue,emptyvalue,14650-6,Citrate [Moles/time] in 24 hour Urine,http://loinc.org,2.40,mmol/(24.h),X
504,UCHLP,Chlorpropamid (Urin) [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,12329-9,chlorproPAMIDE [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
505,UCDKRQ,Cadmium/Kreatinin Quotient (Urin) [Fremdlabor],µg/g Crea,emptyvalue,emptyvalue,emptyvalue,13471-8	,Cadmium/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.42,ug/g&#123;creat},X
506,UCD,Cadmium (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,21130-0,Cadmium [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
507,UCASPQ,Calcium /mol Kreatinin (Spontanurin),mol/mol Krea,Urinchemie,emptyvalue,emptyvalue,24518-3,Calcium/Creatinine [Molar ratio] in Urine,http://loinc.org,2.70,mol/mol&#123;creat},X
508,UCASP,Calcium (Spontanurin),mmol/l,Urinchemie,emptyvalue,emptyvalue,2004-0,Calcium [Moles/volume] in Urine,http://loinc.org,2.70,mmol/L,X
509,UCARN,Carnosin (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25875-6,Carnosine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
511,UCAN2,Cannabinoide (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3427-2,Cannabinoids [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
514,UCAN,Cannabinoide (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3427-2,Cannabinoids [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
520,UCA,Calcium (Urin),mmol/l,Urinchemie,emptyvalue,emptyvalue,25362-5,Calcium [Moles/volume] in 24 hour Urine,http://loinc.org,2.70,mmol/L,X
521,Uca,Calcium (Urin) Tagesausscheidung,mmol/d,Urinchemie,emptyvalue,emptyvalue,14637-3,Calcium [Moles/time] in 24 hour Urine,http://loinc.org,2.70,mmol/(24.h),X
524,UBRAND,Brandprobe (Urin) [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,32548-0	,Nitroprusside reacting substances [Presence] in Urine,http://loinc.org,2.56,emptyvalue,emptyvalue
527,UBJ,Bence-Jones Protein (Urin),emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
529,UBIL,Bilirubin (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,5770-3,Bilirubin.total [Presence] in Urine by Test strip,http://loinc.org,2.56,emptyvalue,X
537,UBEN2,Benzodiazepine (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3390-2,Benzodiazepines [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
541,UBEN,Benzodiazepine (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3390-2,Benzodiazepines [Presence] in Urine,http://loinc.org,2.70,emptyvalue,X
549,UBEIMMF,U-Immunfix. Beurteilung,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
551,UBAR2,Barbiturate (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3377-9,Barbiturates [Presence] in Urine,http://loinc.org,2.73,emptyvalue,X
559,UBAR,Barbiturate (Urin),emptyvalue,Urin-Screening,emptyvalue,emptyvalue,3377-9,Barbiturates [Presence] in Urine,http://loinc.org,2.56,emptyvalue,X
560,UBAMB,Beta-Aminoisobuttersäure (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25871-5,Beta aminoisobutyrate/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
561,UBALA,Beta-Alanin (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25869-9,Beta alanine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
562,UB2MSP,Beta-2-Mikroglobulin (Urin) [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,83077-8	,Beta-2-Microglobulin [Mass/volume] in Urine by Immunoassay,http://loinc.org,2.58,ug/L,X
563,UB2M,b2-Mikroglobulin (Urin),mg/l,Urinchemie,emptyvalue,emptyvalue,1953-9,Beta-2-Microglobulin [Mass/volume] in Urine,http://loinc.org,2.70,mg/L,X
564,Ub2m,b2-Mikroglobulin (Urin),mg/d,Urinchemie,emptyvalue,emptyvalue,10873-8,Beta-2-Microglobulin [Mass/time] in 24 hour Urine,http://loinc.org,2.42,mg/(24.h),X
565,UASPS,Asparaginsäure (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25865-7,Aspartate/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
566,UASPA,Asparagin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25863-2,Asparagine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
567,UASFVBIOSC,Aminosäuren von Bioscientia,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
568,UASFV,Aminosäuren (Urin) [Fremdlabor],emptyvalue,emptyvalue,emptyvalue,emptyvalue,12467-7,Amino acids [Identifier] in Urine,http://loinc.org,2.73,emptyvalue,emptyvalue
569,UASDC,"Aminosäuren, Dünnschichtchromat. (Urin)",emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
570,UASA,Arylsulfatase A (Urin) [Fremdlabor],nMol/h/mgKre,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,nmol/h/mg&#123;creat},X
571,UAS,Aminosäuren (Urin) [Fremdlabor],emptyvalue,Urinchemie,emptyvalue,emptyvalue,12467-7,Amino acids [Identifier] in Urine,http://loinc.org,2.21,emptyvalue,X
572,UARS,Arsen (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5586-3,Arsenic [Mass/volume] in Urine,http://loinc.org,2.40,ug/L,X
573,UARGI,Arginin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25861-6,Arginine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
574,UANSE,Anserin (Urin) [Fremdlabor],µmol/mmolC,#NV,emptyvalue,emptyvalue,25859-0,Anserine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
575,UANAB,Anabasin (Urin) [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,33915-0,Anabasine [Mass/volume] in Urine,http://loinc.org,2.70,ug/L,X
576,UAMP2,Amphetamine (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,105967-4,Amphetamine [Presence] in Urine,http://loinc.org,2.78,emptyvalue,X
579,UAMP,Amphetamine (Urin),emptyvalue,Toxikologie Sonstiges,emptyvalue,emptyvalue,19343-3,Amphetamine [Presence] in Urine by Screen method,http://loinc.org,2.70,emptyvalue,X
586,UAMLP,Amylase (Spontanurin),U/l,Urinchemie,emptyvalue,emptyvalue,1799-6,Amylase [Enzymatic activity/volume] in Urine,http://loinc.org,2.68,U/L,X
587,UAML,Amylase (Urin),U/l,Urinchemie,emptyvalue,emptyvalue,1800-2,Amylase [Enzymatic activity/time] in 24 hour Urine,http://loinc.org,2.44,U/(24.h),X
588,UALU,Aluminium (Urin) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5577-2,Aluminum [Mass/volume] in Urine,http://loinc.org,2.42,ug/L,X
589,UALS,delta-Aminolävulinsäure (Urin) [Fremdlabor],mg/L,Urinchemie,emptyvalue,emptyvalue,11215-1,Delta aminolevulinate [Mass/volume] in Urine,http://loinc.org,2.34,mg/L,X
590,Uals,delta-Aminolävulinsäure (Urin) [Fremdlabor],mg/d,0,emptyvalue,emptyvalue,2200-4,Delta aminolevulinate [Mass/time] in 24 hour Urine,http://loinc.org,2.42,mg/(24.h),X
591,UALD,Aldosteron (Urin),µg/l,Hormone,emptyvalue,emptyvalue,31992-1,Aldosterone [Mass/volume] in 24 hour Urine,http://loinc.org,2.42,ug/L,X
592,Uald,Aldosteron (Urin),µg/d,Hormone,emptyvalue,emptyvalue,1765-7,Aldosterone [Mass/time] in 24 hour Urine,http://loinc.org,2.40,ug/(24.h),X
593,UALBSP,Albumin (Spontanurin),mg/l,Urinchemie,emptyvalue,emptyvalue,1754-1,Albumin [Mass/volume] in Urine,http://loinc.org,2.34,mg/L,X
594,UALB-KR,Albumin /g Kreatinin,mg/g Krea,emptyvalue,emptyvalue,emptyvalue,9318-7,Albumin/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.42,mg/g&#123;creat},emptyvalue
596,UALB,Albumin (Urin),mg/l,Urinchemie,emptyvalue,emptyvalue,21059-1,Albumin [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/L,X
597,Ualb,Albumin Tagesausscheidung,mg/d,Urinchemie,emptyvalue,emptyvalue,1755-8,Albumin [Mass/time] in 24 hour Urine,http://loinc.org,2.40,mg/(24.h),X
598,UALAN,Alanin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25844-2,Alanine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
599,UAL,Aluminium (Urin) [Fremdlabor],µmol/l,#NV,emptyvalue,emptyvalue,52915-6	,Aluminum [Moles/volume] in Urine,http://loinc.org,2.70,umol/L,X
600,UAKQ,Albumin/Kreatinin Quotient,mg Alb/g Krea,Urinchemie,emptyvalue,emptyvalue,9318-7,Albumin/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.42,mg/g&#123;creat},X
601,UADRFV,Adrenalin (Urin) [Fremdlabor],nmol/l,emptyvalue,emptyvalue,emptyvalue,25908-5	,EPINEPHrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,nmol/L,X
602,UADR,Adrenalin (Urin),nmol/l,Hormone,emptyvalue,emptyvalue,25908-5,EPINEPHrine [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,nmol/L,X
603,Uadr,Adrenalin (Urin) Tagesausscheidung,nmol/d,Hormone,emptyvalue,emptyvalue,14712-4,EPINEPHrine [Moles/time] in 24 hour Urine,http://loinc.org,2.40,nmol/(24.h),X
604,UAAMS,Alpha-Aminoadipinsäure (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25847-5,Alpha aminoadipate/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
605,UAAMI,Alpha-Aminobuttersäure (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25849-1	,Alpha aminobutyrate/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
606,UA2MP,a2-Makroglobulin (Spontanurin),mg/l,emptyvalue,emptyvalue,emptyvalue,97189-5,Alpha-2-Macroglobulin [Mass/volume] in Urine,http://loinc.org,2.70,mg/L,X
607,UA2M,a2-Makroglobulin (Urin),mg/l,emptyvalue,emptyvalue,emptyvalue,31151-4,Alpha-2-Microglobulin [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,mg/L,X
608,UA1MP,a1-Mikroglobulin (Spontanurin),mg/l,emptyvalue,emptyvalue,emptyvalue,99076-2	,Alpha-1-Microglobulin [Mass/volume] in 24 hour Urine,http://loinc.org,2.72,mg/L,X
609,UA1M-KR,a1-Mikroglobulin /g Kreatinin,mg/g Krea,Urinchemie,emptyvalue,emptyvalue,48415-4,Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine,http://loinc.org,2.70,mg/g&#123;creat},X
610,UA1M,a1-Mikroglobulin (Urin),mg/l,Urinchemie,emptyvalue,emptyvalue,46723-3,Alpha-1-Microglobulin [Mass/volume] in Urine,http://loinc.org,2.34,mg/L,X
611,Ua1m,a1-M. Tagesausscheidung,mg/d,Urinchemie,emptyvalue,emptyvalue,48414-7,Alpha-1-Microglobulin [Mass/time] in 24 hour Urine,http://loinc.org,2.70,mg/(24.h),X
612,u901IgE,"Cannabis sativa, IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,7398-1,Hemp IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
613,U3OHCOTI,3-OH-Cotinin (Urin) [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,33916-8,Trans-3-Hydroxycotinine [Mass/volume] in Urine,http://loinc.org,2.70,ug/L,X
614,U3MET,3-Methylhistidin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,25857-4,3-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
615,u395IgE,"Meerrettichperoxidase, IgE geg.",kU/L,Nahrungsmittelallergene IgE,emptyvalue,emptyvalue,65792-4,Horseradish native (nArm r) HRP IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
616,U1MET,1-Methylhistidin (Urin) [Fremdlabor],µmol/mmolC,emptyvalue,emptyvalue,emptyvalue,25854-1,1-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
617,TZKC,Thrombinzeit [Fremdversand],sec,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
618,TZ,Thrombinzeit,sec,Hämostaseologie Globaltests,emptyvalue,emptyvalue,3243-3,Thrombin time,http://loinc.org,2.70,s,X
619,TYR,Tyrosin,µmol/L,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,20660-7,Tyrosine [Moles/volume] in Serum or Plasma,http://loinc.org,2.70,umol/L,X
620,TXPCR,Toxoplasma gondii,emptyvalue,Parasitologie,emptyvalue,emptyvalue,29904-0,Toxoplasma gondii DNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.69,emptyvalue,X
622,TXGA,Toxoplasma IgG Avidität,Index,Parasitologie,emptyvalue,emptyvalue,35281-5,Toxoplasma gondii IgG Ab [Presence] in Serum by Immunofluorescence,http://loinc.org,2.56,emptyvalue,X
624,tx4IgE,"Bäumemischung , IgE geg. (Eiche, Ulme,Platane, Salweide, Pappel)",mg/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
628,TWPCR,Tropheryma whipplei,emptyvalue,emptyvalue,emptyvalue,emptyvalue,46725-8,Tropheryma whipplei DNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.73,emptyvalue,X
629,TVPCR,Tollwutvirus,emptyvalue,Virologie,emptyvalue,emptyvalue,51647-6,Rabies virus RNA [Presence] in Specimen by Probe,http://loinc.org,2.69,emptyvalue,X
630,TULM,Tularämie IgM [Fremdlabor],Titer,emptyvalue,emptyvalue,emptyvalue,33466-4,Francisella tularensis IgM Ab [Titer] in Serum,http://loinc.org,2.30,&#123;titer},X
631,TULG,Tularämie IgG [Fremdlabor],Titer,emptyvalue,emptyvalue,emptyvalue,33465-6,Francisella tularensis IgG Ab [Titer] in Serum,http://loinc.org,2.30,&#123;titer},X
632,TTG,"Transglutaminase, IgA-AK geg.",RE/ml,Zöliakie assoziierte Autoantikörper,emptyvalue,emptyvalue,46128-5,Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
634,TSST1,Toxic Shock Syndrom Toxin [Fremdlabor],kU/l,emptyvalue,emptyvalue,emptyvalue,51856-3	,Staphylococcus aureus TSST-1 IgE Ab [Units/volume] in Serum,http://loinc.org,2.65,k[IU]/L,X
635,TSHM30,TSH -30 min,mU/l,Hormone,emptyvalue,emptyvalue,12940-3,Thyrotropin [Units/volume] in Serum or Plasma --30 minutes pre XXX challenge,http://loinc.org,2.36,mU/L,X
